Identifier,Tag_Name
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},1987
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},1988
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},1989
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},1990
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},1991
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},1992
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},1993
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},1994
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},1995
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},1996
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},1997
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},1998
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},1999
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},2000
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},2001
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},2002
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},2003
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},2004
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},2005
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},2006
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},2007
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},2008
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},2009
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},2010
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},2011
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},2012
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},2013
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},2014
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},2015
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},air
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},ak
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},al
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},alabama
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},alaska
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},american-samoa
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},ar
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},arizona
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},arkansas
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},as
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},az
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},ca
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},california
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},chemical
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},chemical-pollution
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},chemical-release
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},chemicals
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},co
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},colorado
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},community
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},community-right-to-know
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},connecticut
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},ct
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},datafinder
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},dc
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},de
{4D3DBFDD-DA71-4214-9440-2EEA579F69FB},delaware
