Project_ID,Identifier
100,{B4829C41-1361-41A4-A24C-DC40305DC71B}
81,015-BFS-2014Q1-04
110,015-DO-020
56,015-DO-036
39,0442ba45-4990-4310-9989-f114758fd567
136,046e5b6a-0f90-4f8e-8c16-14057fd8872e
126,0a53acaf-5ec2-47ba-8867-a7de9d9c5e25
33,10.15482/USDA.ADC/1178143
139,10.15482/USDA.ADC/1178144
29,10.15482/USDA.ADC/1324304
132,10.15482/USDA.ADC/1409034
28,10.15482/USDA.ADC/25343293.v1
5,10.5067/CAQ58H42LQY2
47,10.7265/a98x-0f50
40,10.7265/N57D2S3M
110,10113/AA22726
115,10113/AA5880
21,10113/AA6567
130,11c83d84-83c1-4310-963f-2134f953943b
82,1496
16,22fe57da-f5b8-4c52-90ea-b10591a66f90
5,2a78ac8a-4d81-4e5c-a4d8-52536cdda2de
32,2a78ac8a-4d81-4e5c-a4d8-52536cdda2de
127,2a78ac8a-4d81-4e5c-a4d8-52536cdda2de
134,2b3df818-601e-4f06-b150-643557229491
49,2b7ec03d-67dc-4544-b1d6-b9aa02f693c6
135,382f80ed-5dc5-4f65-971c-99be1ce4cf2d
102,455
125,455
57,4a9a896a-e64e-48c2-bb35-5589f80e7c52
122,4ac6fe16-957d-4e2b-bbcb-1680c9f6939c
9,4ce59b20-8ee5-4285-9f4b-f864873a2e06
138,4e5ad36d-de08-4938-88fc-24dabaa70bce
86,547
59,576e09ef-3672-427f-b207-c16554cb6520
37,5b18c198-474c-4723-b735-cc5220ad43cc
91,5f653b2a-4c7e-44b3-9fc2-05ba460b76e0
19,617db889-3907-4429-aa64-b4747156d437
72,7
74,765D70B8-0151-4BB7-8D60-5AAD5989940C
98,7684a3fe-8072-4b2c-9fff-23a0c76079a3
86,82e5b18d-d14e-47c4-be3d-03360fe3d82f
95,8ab03039-617f-469d-bf37-b4f844372945
128,8D1F4382-424A-492E-8D2E-ADC046140BBB
79,918e71f9-30c4-4abe-84b3-0474c64571b8
95,92.0
135,92.0
148,92615-00000-7
118,99f89749-f77f-4d0f-a415-8c7b633bac1f
44,9adfa6a1-07cf-4a5c-ae9d-5e495a77381b
100,9adfa6a1-07cf-4a5c-ae9d-5e495a77381b
94,9c4eab3b-e05d-4af8-ad18-76e4c1a71a74
60,a8f9b63d-e28e-4a36-8ec3-aeb0e7e1559d
119,annual_37_183_0021_2017
105,ark:/88434/mds2-2124
108,ark:/88434/mds2-2635
34,b9c8ce91-40ff-4ad3-8164-bc17c46afb44
108,C1220566204-USGS_LTA
50,C1220567672-USGS_LTA
10,c1e25290-2a81-4584-9c8e-9c21512c252a
89,c37c5f79-a2cc-40e4-a69d-45dbceb773e3
84,c9783b15-82ca-472e-9874-c9b690881fcc
96,cpd-incidents
28,d9f3932a-9c55-41b3-ad3a-0b4e18ee4752
22,DOE-019-1296988438
36,DOE-019-3988165895
91,DOE-019-540445673
122,DOE-019-540445739
140,DOE-019-6992338902
16,DOE-019-IEDAD-COLLECTION1
25,DOE-019-IEDAD-COLLECTION1
55,DOT-678
84,DOT-678
93,e2ce0d2f-07c5-5213-947a-31e19bc649f6
61,EBSA-11-012:019-104
148,ECBCC1C1301D2ED9E04306570681B10735
31,ECBCC1C130222ED9E04306570681B10740
38,ECBCC1C130222ED9E04306570681B10740
37,ECBCC1C1302A2ED9E04306570681B10748
125,ed15583e-8ed9-451c-9724-5b98bde9f068
146,ee7073db-55c0-46b0-b831-1c659fe7137d
20,ETA-5-012:017-535
104,f22c9b6a-e68a-445a-ae44-1441b2f698ab
123,fb7cc429-69d2-4424-b287-68855af600ff
92,FEMA-02257
125,FEMA-0381
67,FHFA8012
56,FHFA8590
131,FHFA903
32,FRBC0014
2,FRBCNA59
137,GSA-2021-01-08-01
90,GSA-2022-09-30-07
63,http://api.census.gov/data/id/PEPNATMONTHLY2015
32,http://datainventory.doi.gov/id/dataset/FWS_ServCat_165519
45,http://datainventory.doi.gov/id/dataset/NPS_DataStore_2220633
